tempo_s,x,y,z
2025-04-24T19:58:58.561291,0.0087,0.155,0.9878
2025-04-24T19:58:58.613116,0.011,0.1565,0.9873
2025-04-24T19:58:58.666997,0.0083,0.155,0.9888
2025-04-24T19:58:58.716127,0.0081,0.1552,0.9881
2025-04-24T19:58:58.765630,0.0107,0.1561,0.9888
2025-04-24T19:58:58.818352,0.0087,0.1557,0.988
2025-04-24T19:58:58.867255,0.0081,0.1547,0.988
2025-04-24T19:58:58.920380,0.0097,0.1556,0.9875
2025-04-24T19:58:58.969334,0.0097,0.1549,0.9876
2025-04-24T19:58:59.023262,0.0087,0.1556,0.9874
2025-04-24T19:58:59.076318,0.0098,0.1552,0.9861
2025-04-24T19:58:59.122447,0.0086,0.1559,0.9876
2025-04-24T19:58:59.173933,0.0092,0.1547,0.9877
2025-04-24T19:58:59.228716,0.0093,0.1549,0.9893
2025-04-24T19:58:59.275307,0.009,0.1558,0.9898
2025-04-24T19:58:59.326397,0.009,0.1551,0.9895
2025-04-24T19:58:59.377521,0.0094,0.1568,0.9871
2025-04-24T19:58:59.428168,0.0098,0.1559,0.9879
2025-04-24T19:58:59.479623,0.0092,0.155,0.9887
2025-04-24T19:58:59.530447,0.0088,0.1553,0.9867
2025-04-24T19:58:59.583272,0.0091,0.1557,0.9869
2025-04-24T19:58:59.632576,0.009,0.1552,0.9883
2025-04-24T19:58:59.684752,0.009,0.1557,0.9876
2025-04-24T19:58:59.735102,0.0095,0.1547,0.9883
2025-04-24T19:58:59.785824,0.0096,0.156,0.989
2025-04-24T19:58:59.836942,0.0085,0.1552,0.9893
2025-04-24T19:58:59.888617,0.0082,0.1551,0.9889
2025-04-24T19:58:59.938380,0.0095,0.1551,0.987
2025-04-24T19:58:59.989491,0.0088,0.1544,0.9885
2025-04-24T19:59:00.040783,0.0091,0.1556,0.9873
2025-04-24T19:59:00.091489,0.008,0.1554,0.9855
2025-04-24T19:59:00.143024,0.0092,0.1542,0.9878
2025-04-24T19:59:00.194236,0.0093,0.1546,0.9852
2025-04-24T19:59:00.245580,0.0097,0.1548,0.9866
2025-04-24T19:59:00.295249,0.008,0.1553,0.988
2025-04-24T19:59:00.347785,0.01,0.1559,0.9873
2025-04-24T19:59:00.397205,0.0084,0.1551,0.9892
2025-04-24T19:59:00.450071,0.0096,0.1548,0.988
2025-04-24T19:59:00.499770,0.0091,0.1563,0.9868
2025-04-24T19:59:00.552988,0.0078,0.1554,0.9872
2025-04-24T19:59:00.601963,0.01,0.1556,0.987
2025-04-24T19:59:00.655265,0.0102,0.1555,0.9861
2025-04-24T19:59:00.705130,0.0087,0.1545,0.9871
2025-04-24T19:59:00.758608,0.0096,0.1542,0.9875
2025-04-24T19:59:00.805527,0.0079,0.1541,0.9875
2025-04-24T19:59:00.856906,0.0064,0.1548,0.9893
2025-04-24T19:59:00.907795,0.0106,0.1556,0.9886
2025-04-24T19:59:00.958346,0.0086,0.154,0.989
2025-04-24T19:59:01.010229,0.008,0.1553,0.9895
2025-04-24T19:59:01.065644,0.0101,0.1559,0.9873
2025-04-24T19:59:01.113064,0.0082,0.1541,0.9871
2025-04-24T19:59:01.162202,0.0096,0.154,0.986
2025-04-24T19:59:01.213996,0.0103,0.1551,0.9869
2025-04-24T19:59:01.266537,0.0079,0.1547,0.9875
2025-04-24T19:59:01.315629,0.0086,0.1557,0.9893
2025-04-24T19:59:01.366184,0.0108,0.1542,0.988
2025-04-24T19:59:01.417385,0.0101,0.1543,0.9881
2025-04-24T19:59:01.474419,0.0074,0.1561,0.9868
2025-04-24T19:59:01.519431,0.009,0.1563,0.9872
2025-04-24T19:59:01.570182,0.0104,0.1549,0.9884
2025-04-24T19:59:01.621279,0.0084,0.1548,0.9896
2025-04-24T19:59:01.678013,0.0106,0.1557,0.9869
2025-04-24T19:59:01.723392,0.0088,0.1556,0.9882
2025-04-24T19:59:01.775056,0.009,0.1554,0.9869
2025-04-24T19:59:01.825490,0.0103,0.1569,0.9878
2025-04-24T19:59:01.876063,0.0097,0.1537,0.9865
2025-04-24T19:59:01.931303,0.0096,0.1546,0.9868
2025-04-24T19:59:01.979016,0.0081,0.1558,0.9866
2025-04-24T19:59:02.029179,0.0087,0.1559,0.9861
2025-04-24T19:59:02.080024,0.0098,0.1546,0.9875
2025-04-24T19:59:02.132356,0.0089,0.156,0.9893
2025-04-24T19:59:02.182535,0.0093,0.1556,0.9898
2025-04-24T19:59:02.233872,0.01,0.1563,0.9884
2025-04-24T19:59:02.284576,0.0097,0.1552,0.9901
2025-04-24T19:59:02.335519,0.0094,0.1549,0.988
2025-04-24T19:59:02.386415,0.0086,0.155,0.9873
